bin1	bin2	Case	Ctrl	Tstat	Pvalue	Ctrl.ll	Ctrl.h	Ctrl.v	FDR
2	41	420.180836131387	381.921652834225	2.91577455192923	0.00379076711280428	376.313956168153	408.795793544177	383.699589736165	0.0103960837207342
3	4	262.854968	373.491296246278	-7.73693257834028	1.83897611138252e-13	NA	419.909028208061	NA	4.56957700404141e-12
3	5	337.447925	373.838686407085	-2.072949242144	0.0394734646099654	NA	425.925302922149	NA	0.074581200415142
3	6	328.413379661017	378.4587985684	-3.14075541894776	0.00192523297916422	NA	430.890202112211	NA	0.00608503101071532
3	7	398.806188986784	376.510641883253	1.53766478748866	0.125246151894157	NA	431.649376087432	NA	0.197124461714413
3	8	388.415134653465	375.226607949506	0.804293236323082	0.422035340171871	NA	435.872899172149	NA	0.516642224110808
3	9	390.008254455446	372.231426686968	1.19537357318932	0.233112644241329	NA	408.119399500467	209.690513422819	0.319119145705993
3	10	394.244049773756	373.590570321095	1.48534750561371	0.138617125840635	238.478278465347	401.691804474335	310.967465384615	0.213657975919776
3	11	420.598132984293	372.561999207364	3.11248991206835	0.00210007080135808	280.673728682896	396.015673404038	303.926990401146	0.00644965564462032
3	12	423.651145454545	371.746356745416	3.39894906825871	0.000798787215395689	293.070336001918	400.927341269584	305.908228820319	0.0029504753001102
3	13	427.427418367347	373.425843799193	3.55262273699577	0.000447050431391273	301.456002861858	399.623286795916	313.123896420604	0.00180581947655588
3	14	435.230634259259	374.487215278515	4.19190911464404	3.83243758618792e-05	308.688866115334	402.645453276738	319.142018822379	0.000229386775231686
3	15	419.181973732719	376.814977006559	2.64403110734774	0.00872057301652576	317.242876313893	419.380643193015	332.900744719058	0.0210940114264045
3	16	417.852237662338	378.730851046126	2.74107432832295	0.00653422146212263	326.670600129084	425.075070443395	345.103497008197	0.0164863433813556
3	17	439.489383854167	380.78034293321	3.35325940327986	0.000945759149143182	338.353036099288	431.774931944245	353.237336641478	0.00338656114540353
3	18	421.726785779817	381.642559275661	2.55553271393102	0.0112006195871471	347.554521166635	431.301149957518	351.242545719697	0.0263166420099157
3	19	420.785993023256	381.546999984601	2.95265380212385	0.00339392998664689	354.027120390906	433.096884205611	351.351162770563	0.00956365150876445
3	20	443.533537566138	381.472476319133	3.59738624239022	0.000401740179537307	358.640044981422	429.342778177403	375.010630871599	0.00168074973071731
3	21	433.909052534562	380.712203858033	3.59610308856474	0.000389864767112927	365.874526890557	427.142747815938	365.267600775541	0.00165642025405492
3	22	434.829498859316	378.660912697109	4.11071147986874	5.06527360627971e-05	367.520072040237	422.94451637269	348.354417859356	0.000292501715292209
3	23	448.71414673913	378.173838163714	4.32160914280733	2.41868087554812e-05	369.749377083053	421.997268623925	371.961461261967	0.000150251387723444
3	24	447.574368269231	379.119263531194	4.57219032044625	7.8022561365664e-06	373.353095412906	419.514884472906	350.531967885986	5.37634456469282e-05
3	25	439.972961811024	380.874330976519	4.3824466299413	1.62990976672306e-05	377.267566793081	418.339108081359	368.420253945982	0.000107784355541364
3	26	439.433322321429	381.667919285448	4.19672540759922	3.72087344749504e-05	380.221716779492	417.152633818367	359.111099057971	0.000224346781393084
3	27	422.873086206897	383.623304324878	2.81363169499176	0.00526181218526245	381.55349896017	419.61436370076	354.533571499652	0.0136974158473499
3	28	419.479145283019	385.526766377538	2.11135810305438	0.0361511387400369	382.997034040462	423.40261248482	357.951428703141	0.0695866989831697
3	29	404.514853623188	387.490001250571	1.20236011910337	0.230419741407471	384.926577797578	426.290962916585	353.430002908333	0.317351693485465
3	30	402.24248778626	389.076473546947	1.04161349512648	0.298396651812225	386.612167691703	428.358313481475	344.455382644654	0.389006763888751
3	31	384.41021443299	389.085093556592	-0.31300746266736	0.754573613517366	382.193219033559	430.204667913727	329.803482333333	0.800453251079223
3	32	380.895144491525	388.877179656139	-0.589831683765287	0.555788356753218	380.171704636748	433.601320580316	324.41723462963	0.632103262881607
3	33	405.031063117871	387.922662078269	1.32246967249931	0.186985392015429	375.941572263511	432.814495430195	342.546831554749	0.271377029119737
3	34	395.687692592593	385.933302549101	0.715832857205757	0.474760721776455	371.092169718209	431.145766083153	349.948392307997	0.568326703440428
3	35	408.011450207469	384.160609442003	1.69826241008123	0.0905804253540458	369.397016738656	426.020141598253	364.988463255153	0.149749896754673
