bin1	bin2	out.mean
8	37	325.542371604938
8	38	325.936359427208
8	39	354.22872967581
8	40	343.165347272727
8	41	367.653126525199
9	10	276.604325085911
9	11	320.912449115044
9	12	310.868437593985
9	13	359.247735782748
9	14	372.196673943662
9	15	334.323288803089
9	16	360.706268064516
9	17	355.721141777778
9	18	341.042817582418
9	19	358.494852722063
9	20	354.660218723404
9	21	330.793045934959
9	22	346.223498089172
9	23	364.764537837838
9	24	362.898931020408
9	25	380.670505902778
9	26	336.100819805195
9	27	365.90028516129
9	28	332.394215102041
9	29	343.189433948339
9	30	344.659467857143
9	31	333.269964830508
9	32	326.478804059041
9	33	330.662666666667
9	34	332.525443333333
9	35	324.98611011236
9	36	316.245568436578
9	37	320.945027758007
9	38	323.318017073171
9	39	348.915459659091
9	40	339.797869285714
9	41	363.722553731343
10	11	230.375573977695
10	12	297.368502405498
10	13	316.172208719346
10	14	356.709160443038
10	15	321.706257394366
10	16	313.800871681416
10	17	329.324183966245
10	18	320.923519256757
10	19	331.532627034121
10	20	350.623946296296
10	21	339.139319133574
10	22	326.423825655977
10	23	357.480755186722
10	24	349.46302890625
10	25	330.76116835443
10	26	334.587613190184
10	27	332.701143589744
10	28	322.094223684211
10	29	343.260036805556
10	30	312.643777839335
10	31	306.736692910448
10	32	303.863001360544
10	33	304.424657853403
10	34	317.464243333333
10	35	327.832735395189
10	36	301.315216230367
10	37	325.801293290735
10	38	327.15088525
10	39	337.772992084433
10	40	343.173153896104
10	41	376.741975966851
11	12	202.747402973978
11	13	291.803892307692
11	14	302.536467164179
11	15	297.0473236
11	16	318.50113415493
11	17	314.139569194313
11	18	310.782898031496
11	19	318.610984664537
11	20	332.779687391304
11	21	333.296385714286
11	22	350.352149169435
11	23	357.434100938967
11	24	341.717528632479
11	25	332.174089772727
11	26	332.605396415771
11	27	332.591443252595
11	28	306.853562331839
11	29	323.366578969957
11	30	309.899753355705
11	31	279.200642081448
11	32	310.325175502008
11	33	317.123646153846
11	34	307.774988095238
11	35	325.443333606557
11	36	311.8558675
11	37	313.461305384615
11	38	333.627714714715
11	39	351.882339130435
11	40	342.811763670412
11	41	392.531285016287
12	13	248.708634011628
12	14	301.196852364865
12	15	277.039579470199
12	16	315.073211146497
12	17	339.173233613445
12	18	333.074591240876
12	19	334.110023595506
12	20	352.300036679537
12	21	323.194959057971
12	22	348.066789053254
12	23	345.778697154472
12	24	316.82917593985
12	25	343.481206291391
12	26	331.452154402516
12	27	348.189724767802
12	28	313.915375732218
12	29	326.233647037037
12	30	327.792579008746
12	31	292.867082926829
12	32	310.145497491039
12	33	313.840039275766
12	34	328.693757839721
12	35	321.376988850174
12	36	317.187596089385
12	37	343.803035273973
12	38	351.162682198953
12	39	373.252615342466
12	40	378.254626989619
12	41	388.600018390805
13	14	232.654280740741
13	15	307.724601685393
13	16	300.857128019324
13	17	333.087465798046
13	18	344.889827953891
13	19	326.478880449438
13	20	370.8427121875
13	21	359.734310736196
13	22	323.599528537736
13	23	363.303274125874
13	24	357.226896463023
13	25	345.596780263158
13	26	363.759579691517
13	27	342.608870660147
13	28	348.194529605263
13	29	358.997976276276
13	30	334.722307009346
13	31	317.80768
13	32	335.303272173913
13	33	320.308083410138
13	34	342.784383333333
13	35	348.678170434783
13	36	326.052527232143
13	37	354.947138950276
13	38	363.485844373673
13	39	375.639090687361
13	40	383.465027123288
13	41	412.148941882353
14	15	242.792718639053
14	16	290.667992722372
14	17	293.24295234657
14	18	313.792353674121
14	19	336.780310075567
14	20	343.63167414966
14	21	342.165470608108
14	22	341.237079076087
14	23	348.52730515873
14	24	342.273362765957
14	25	348.950984164223
14	26	352.513352586207
14	27	372.010180327869
14	28	333.124032384342
14	29	345.96131442623
14	30	351.543151948052
14	31	323.872708896797
14	32	330.926419496855
14	33	344.193674314214
14	34	345.889815030675
14	35	359.589328840125
14	36	353.895456049383
14	37	353.244127218935
14	38	361.234033411765
14	39	386.132761707317
14	40	379.324644610778
14	41	415.942999222798
15	16	239.990743567251
15	17	278.577935849057
15	18	266.628566006601
15	19	321.951884065934
15	20	327.512049819495
15	21	311.159097902098
15	22	333.589932378224
15	23	330.363604489796
15	24	313.572366791045
15	25	338.118050328947
15	26	323.319909393939
15	27	354.149983667622
15	28	324.349317063492
15	29	326.67952455516
15	30	336.097510511364
15	31	310.427403831418
15	32	320.744326174497
15	33	329.467578787879
15	34	344.189354915254
15	35	329.806697577855
15	36	344.701252645503
15	37	348.873120265781
15	38	346.519174744898
15	39	379.286918617021
15	40	365.086722558923
15	41	401.99706039886
16	17	215.399180573248
16	18	294.73490652819
16	19	321.19655754717
16	20	347.200879801325
16	21	348.76543968254
16	22	330.626267418546
16	23	351.797355514706
16	24	358.208050986842
16	25	341.333993258427
16	26	353.009599457995
16	27	352.099343107769
16	28	340.797107849829
