bin1	bin2	out.mean
10	41	375.542641416894
11	12	217.793897909408
11	13	306.4686371875
11	14	294.94977962963
11	15	306.489272058824
11	16	337.492371768707
11	17	341.638492622951
11	18	342.301848863636
11	19	350.14200212766
11	20	351.565958823529
11	21	360.34302103321
11	22	349.521970030581
11	23	364.435682905983
11	24	336.822194094488
11	25	354.326459868421
11	26	363.9859609319
11	27	344.143778819444
11	28	354.10746453202
11	29	348.520466806723
11	30	347.085930981595
11	31	320.56602016129
11	32	313.036094584838
11	33	342.313058966565
11	34	336.104572200772
11	35	356.574423928571
11	36	358.160534402332
11	37	353.745294623656
11	38	368.005977508651
11	39	380.930184493671
11	40	357.945687937743
11	41	374.616117532468
12	13	254.585189196676
12	14	304.659645733788
12	15	267.616815181518
12	16	318.630140880503
12	17	342.724034615385
12	18	321.771637716263
12	19	339.670290730337
12	20	347.940827165354
12	21	336.863898634812
12	22	350.104816905444
12	23	363.4635316
12	24	319.807130107527
12	25	355.664345259939
12	26	333.895218566775
12	27	333.25211516129
12	28	343.656372444444
12	29	333.579734686347
12	30	336.857020467836
12	31	318.060540148699
12	32	309.337445512821
12	33	340.567327624309
12	34	354.335454014599
12	35	346.290458095238
12	36	373.002826809651
12	37	385.266324414716
12	38	368.665868535826
12	39	380.620574561403
12	40	370.753583636364
12	41	380.043876539589
13	14	247.630587733333
13	15	297.915774054054
13	16	293.585396912114
13	17	340.713226461538
13	18	346.661849326146
13	19	339.327868351648
13	20	366.521624770642
13	21	360.877897574124
13	22	342.212317439294
13	23	371.307014790997
13	24	361.816510204082
13	25	366.500847319347
13	26	351.653356498674
13	27	348.147587437186
13	28	362.266826523297
13	29	366.307686268657
13	30	341.967284035477
13	31	321.354590740741
13	32	330.442567546174
13	33	336.339560606061
13	34	360.397611079545
13	35	371.895747848101
13	36	355.255364767932
13	37	388.540698153034
13	38	386.292168434343
13	39	387.586715646258
13	40	397.062614164306
13	41	393.413309389671
14	15	225.601280538922
14	16	295.544407492795
14	17	286.731446341463
14	18	314.602679288026
14	19	343.1281096
14	20	350.424409266409
14	21	339.906355518395
14	22	333.7485625
14	23	331.488522641509
14	24	348.251736713287
14	25	359.495900864553
14	26	336.145852978056
14	27	337.817349096386
14	28	340.35545720339
14	29	346.150634642857
14	30	326.067780978261
14	31	301.625737366548
14	32	314.173401941748
14	33	332.547085826772
14	34	349.96837883959
14	35	360.945394720497
14	36	367.233066149871
14	37	388.246727531646
14	38	370.03599408284
14	39	389.572015616438
14	40	379.016809459459
14	41	380.818134011628
15	16	258.581869252078
15	17	290.556672093023
15	18	265.161154380665
15	19	335.200658505155
15	20	351.298239857651
15	21	323.420406940063
15	22	334.239620789474
15	23	348.542405681818
15	24	339.021059136213
15	25	370.96202032967
15	26	345.239873619632
15	27	340.608260294118
15	28	343.568390513834
15	29	336.231780936455
15	30	336.226072479564
15	31	310.929661428571
15	32	321.640967592593
15	33	335.648282474227
15	34	350.299262751678
15	35	345.62645872093
15	36	372.298940806045
15	37	375.719467507886
15	38	367.736897101449
15	39	379.028034042553
15	40	371.72250852459
15	41	383.877632417582
16	17	254.687447305389
16	18	305.880216480447
16	19	321.273024941176
16	20	357.063543377483
16	21	346.796226271186
16	22	327.956834106729
16	23	365.124551948052
16	24	366.559722796353
16	25	371.425032432432
16	26	362.099037777778
16	27	348.115954473684
16	28	370.643548275862
16	29	369.254283492064
16	30	353.346130024213
16	31	332.5101625
16	32	334.411422099448
16	33	337.140631590909
16	34	373.272376047904
16	35	372.809257452575
16	36	362.772028794643
16	37	389.165474855491
16	38	388.154845844504
16	39	383.504672921615
16	40	395.673844548287
16	41	408.915606030151
17	18	219.008030065359
17	19	299.715125925926
17	20	345.691879457364
17	21	324.711215862069
17	22	329.952783861671
17	23	348.67896988417
17	24	340.328325362319
17	25	370.239047352025
17	26	368.321898657718
17	27	356.17057147541
17	28	364.991181339713
17	29	335.354120075758
17	30	341.654661111111
17	31	343.472191472868
17	32	328.450868707483
17	33	334.516915536723
17	34	328.540534926471
17	35	355.069245608108
17	36	363.63432568306
17	37	382.489125694444
17	38	379.624698333333
17	39	385.929845994065
17	40	381.967363043478
17	41	398.498010240964
18	19	263.509382828283
18	20	328.540136428571
18	21	304.04830990991
18	22	341.652990745501
18	23	367.21787761194
18	24	327.996672402597
18	25	353.790596961326
18	26	355.614635294118
18	27	345.397094117647
18	28	340.227264777328
18	29	320.467485034014
18	30	343.124352910053
18	31	345.506096428571
18	32	329.493703058104
18	33	328.734314728682
18	34	353.710784262295
18	35	345.306730882353
18	36	379.558397761194
18	37	386.161551582278
18	38	368.322559050445
18	39	383.989541450777
18	40	393.178506930693
18	41	379.471927913279
19	20	246.029070798898
19	21	299.007840201005
19	22	317.274803601695
19	23	357.829971345029
19	24	331.801067493113
19	25	349.543301123595
19	26	366.881825879397
19	27	342.340655714286
19	28	370.630190034364
19	29	341.642891142857
19	30	341.218474509804
19	31	352.342771884058
19	32	343.107314609572
19	33	337.603286582809
19	34	373.335165013774
19	35	371.139565525672
19	36	368.755407692308
19	37	393.557588888889
19	38	375.797327250608
19	39	374.284717446808
19	40	388.477349861496
19	41	393.961018367347
20	21	250.292037383178
20	22	330.892476790831
20	23	346.168550793651
20	24	325.867741851852
20	25	374.365532515337
20	26	369.184297966102
20	27	360.685466666667
20	28	362.297015813953
20	29	344.769850574713
20	30	372.810710089021
